"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","赎回状态"
"110064.SH","建工转债","2024-04-02","110.75","110.9","110.501","110.689","0.00029822151532665764","-0.0016415473833537586","重庆建工","2.88","2.8","2.84","0.010676156583629748","0.021582733992584924","12369","1368.4365","0.07439998737393186","0.28511381207283015","0.008451","63.53467561521253","0.7421825","0.7044310640896229","0.03775143591037711","111.40808176868128","-0.006454484784814252","1.9379996492734555","113.34608141795474","-0.024004927481093397","184.90724999999998","12.64551","13.997188563899998","0.009776509716596375","0.6686","88.7703","0.1287","54.01091739","54.01091739","0.8915410205510991","0.25915480129377594","1539","2025-12-19","1.7178082191780821","0.029217953847148623","1.3","AA+","6-","地方国有企业","重庆","建筑","建筑施工","房屋建筑","0/15 | 30"
"110067.SH","华安转债","2024-04-02","110.907","111.388","110.755","111.165","0.0023262733641700173","0.006364179543602466","华安证券","4.81","4.67","4.74","0.012820512820512997","0.03719912485693255","16622","1846.4167","0.10114986850807194","0.24837364161752015","0.021097","78.7375415282392","0.4118424050632912","0.410774941546996","0.001067463516295164","103.61576658724081","0.07285796034142167","5.323989123993237","108.93975571123406","0.020017490116187142","152.34924050632912","27.9948","31.12041942","0.005933135653092686","1.0776","17.472","6.0971","222.66936646","222.66936646","0.7245091157452668","0.13976066809167678","1455","2026-03-11","1.9424657534246574","-0.012519916125085686","1.3","AAA","5","地方国有企业","安徽","金融","非银行金融","证券","0/15 | 30"
"110068.SH","龙净转债","2024-04-02","136.427","136.593","134.22","134.989","-0.006454889376297346","0.00808023494645993","龙净环保","12.78","12.59","12.63","-0.0109631949882536","-0.013281249857938215","23760","3219.0284","0.29285031668996414","0.32065465164417","0.014235","124.802371541502","0.08162207442596969","0.08014399393405545","0.0014780804919142382","106.40315658117181","0.26865597165833033","37.4733001863006","143.8764567674724","-0.06583837770094148","143.15120744259698","18.7580501908","25.32130437205901","0.012712727404169833","1.8225","26.8273","1.2444","136.54366898","136.54366898","0.6857807356274012","0.1854447339903244","1449","2026-03-23","1.9753424657534246","-0.09180816479603635","1.3","AA+","7+","地方国有企业","福建","机械设备","专用设备","环保设备","0/15 | 30"
"110070.SH","凌钢转债","2024-04-02","110.5","111.892","110.5","111.174","0.008006092972228096","0.007923844074494868","凌钢股份","1.94","1.8","1.87","0.03314917127071837","0.0625000003514895","17255","1918.6727","0.1177508344286096","0.272777085284019","0","72.2007722007722","0.5397896256684491","0.5179855780650465","0.0218040476034026","109.79740516138462","0.012537589905626811","4.402686891481112","114.20009205286573","-0.027219422282779515","165.1529625668449","2.1703","2.412809322","0.0795202788096655","0.6786","","0.2719","53.335466370000006","53.335466370000006","0.5138439447558933","0.04523836550451823","1421","2026-04-12","2.03013698630137","0.01989517494696769","1.3","AA","7","地方国有企业","辽宁","钢铁","钢铁","普钢","0/15 | 30"
"110072.SH","广汇转债","2024-04-02","93.17","93.6","93.01","93.468","0.0033815336060030177","0.015040778438979219","广汇汽车","1.57","1.55","1.55","-0.0064102564102563875","0.013071895626104002","28663","2675.638","0.08871650573635011","0.25689688581305836","0","38.46153846153846","1.430168","1.7145372423372627","-0.2843692423372626","106.74506406654616","-0.1243810585777444","0.0919612608324571","106.83702532737863","-0.1430331806327152","236.4848","33.65853","31.4599548204","0.008504900961475634","0.3256","","0.0935","125.72562516999999","125.72562516999999","0.6289593231050401","0.2502270700810706","1296","2026-08-17","2.378082191780822","0.08608668673730016","1.3","AA+","8+","民营企业","辽宁","交运设备","汽车","汽车销售","0/15 | 30"
"110073.SH","国投转债","2024-04-02","108","108.2","107.862","108.05","0.0007316779505608384","-0.001072425712707492","国投资本","6.52","6.43","6.44","-0.01075268817204289","-0.01075268807023777","31210","3373.4726","0.0920133139521064","0.23926316462598263","0.014286","66.66666666666667","0.6207499999999999","0.6303519327310889","-0.009601932731089002","103.4343436475554","0.04462402128418863","2.5126384241319966","105.94698207168739","0.019463377402245352","170.125","79.9926802464","86.4320910062352","0.003903032497219856","0.8296","17.557","16.4679","413.78980924999996","413.78980924999996","0.7900549553716204","0.2088792161481565","1322","2026-07-23","2.3095890410958906","0.005061225346420547","1.3","AAA","4+","中央国有企业","上海","金融","非银行金融","证券","0/15 | 30"
"110074.SH","精达转债","2024-04-02","144.62","145.95","138.869","140.07","-0.031099982015134975","-0.06002751340875112","精达股份","5.2","4.88","4.91","-0.042884990253411304","-0.07532956619049891","265803","37608.0561","0.24875645856231268","0.3733311494640814","0.024434","137.53501400560225","0.018431568228105766","0.05101475527087793","-0.03258318704277217","108.38270392175124","0.2923648786353028","52.80340834034865","161.1861122620999","-0.15075399630256237","141.91315682281058","5.07713","7.111535991","0.5288316918819627","1.9703","23.944","0.5703","98.01841583","102.11008247999999","0.5241033660726014","0.06964577658031876","1290","2026-08-18","2.3808219178082193","-0.07983065150167784","1.3","AA","7+","民营企业","安徽","机械设备","金属制品","金属制品","7/15 | 30"
"110075.SH","南航转债","2024-04-02","120.855","121.281","120.226","120.401","-0.0037565677878450554","-0.002477216203293775","南方航空","5.77","5.67","5.69","-0.006980802792321161","0.00886524831251867","9529","1149.366","0.12079157599678464","0.2548318810066724","0","92.22042139384116","0.30557850615114246","0.2546066035860966","0.05097190256504586","102.36649114369153","0.17617590145776774","13.921803563622419","116.28829470731395","0.03415839812531496","150.95885061511424","58.963090023","70.99215001859223","0.00161900435428282","2.8031","","0.6447","721.1129822700001","1031.07964335","0.8947213457842782","0.06885224674588396","1247","2026-10-14","2.536986301369863","-0.03961402728599605","1.3","AAA","3","中央国有企业","广东","交通运输","航空机场","航空","0/15 | 30"
"110076.SH","华海转债","2024-04-02","106.438","106.652","106.109","106.298","-0.00131531971664256","0.00015054289749683036","华海药业","13.23","13","13.11","-0.006818181818181834","0.008461538585686323","11438","1215.8339","0.06519609933893615","0.254828055562377","0.018175","38.936738936738934","1.7300180472921438","1.6858750534561064","0.04414299383603737","105.86154070024493","0.004122926011354222","0.13351456992317903","105.99505527016811","0.0028499570060762647","279.2998047292144","18.42423","19.5845880054","0.006208115788112376","2.4802","17.7528","2.2507","192.29163622000002","194.35668671","0.42599364938483353","0.1007662166757463","1225","2026-11-01","2.5863013698630137","0.025429809001579734","1.3","AA","6-","民营企业","浙江","医药生物","化学制药","化学原料药","0/15 | 30"
"110077.SH","洪城转债","2024-04-02","165.492","167.214","164.922","167.054","0.00943852270804646","-0.00686055344112857","洪城环境","9.67","9.53","9.67","0.008342022940563076","-0.013265305943480854","23640","3928.9356","0.19075363688852529","0.24674728686455838","0.040010000000000004","167.30103806228374","-0.0014766080661841041","0.017745279331035542","-0.019221887397219646","105.05533337197839","0.5901524904832545","74.76756517896315","179.82289855094155","-0.0764357546119312","166.9063391933816","9.7723200768","16.325051581097473","0.024066910787278947","1.4765","11.0836","1.4685","110.24266191","118.60446765999998","0.6291069595297203","0.13764280472044296","1203","2026-11-19","2.6356164383561644","-0.14124330218649142","1.3","AA+","6+","地方国有企业","江西","公用事业","水务","水务","公告不强赎"
"110079.SH","杭银转债","2024-04-02","112.165","112.5","112.11","112.381","0.0019257344091292428","0.01197844638093537","杭州银行","11.43","11.26","11.39","0.008857395925597977","0.027978339400025254","46192","5189.4725","0.07821194455212417","0.18530272676262224","0.035119","93.05555555555556","0.20767641791044777","0.2471738553643782","-0.03949743745393042","103.23362975377798","0.08860843378305483","11.658285421309923","114.8919151750879","-0.022342879802528026","133.14864179104478","149.98889","168.5590144709","0.003078727362217646","0.7273","4.6962","1.929","610.81671928","675.4595541","0.9410326383227169","0.2495471615550578","1076","2027-03-28","2.989041095890411","-0.00418464926111015","1.3","AAA","3","地方国有企业","浙江","金融","银行","股份制与城商行","0/15 | 30"
"110081.SH","闻泰转债","2024-04-02","102.88","102.946","102.7","102.93","0.00015546961540713333","-0.000330212501068905","闻泰科技","37.36","36.72","37","-0.010695187165775333","3.9945402541263775e-10","18698","1922.4312","0.07569078662091214","0.39643808241253375","0","38.29831280405755","1.6875857567567567","1.7244943815154403","-0.03690862475868362","102.5398657189115","0.0038047083283487826","2.193694691213506","104.73356041012501","-0.01752220353759837","271.6885756756757","85.97659","88.49570408700001","0.0021723440926692448","1.2641","28.4592","0.7613","459.83950796999994","459.83950796999994","0.502376619858755","0.19244911007684334","957","2027-07-27","3.3205479452054796","0.0250741312296712","1.3","AA+","6+","民营企业","湖北","电子设备","消费电子设备","消费电子设备","0/15 | 30"
"110082.SH","宏发转债","2024-04-02","108.204","108.5","107.888","108.249","0.00040663555288578124","0.0018417399381831512","宏发股份","27.18","26.02","26.9","0.028680688336520044","0.07171314789226635","24309","2627.0045","0.07494000022616899","0.3062553602491239","0.013383","52.78649921507064","1.0506948104089218","1.0314269674609138","0.019267842948007985","105.48120151627484","0.02623973223606213","3.5038890983694415","108.98509061464428","-0.006799976116585782","213.31848104089215","19.99504","21.6444308496","0.012137092068875298","3.5067","20.1354","2.1693","280.47977163999997","280.47977163999997","0.28153786087856925","0.07716931143747847","862","2027-10-27","3.5726027397260274","0.020700342383766474","1.3","AA","6+","民营企业","湖北","电气设备","输变电设备","电气自控设备","0/15 | 30"
"110083.SH","苏租转债","2024-04-02","144.94","148.377","144.94","147.364","0.015764042542925516","0.028769294304842763","江苏金租","4.94","4.83","4.91","0.01446280991735538","0.04690831580989885","53092","7822.5878","0.18244279756726342","0.23029665727495935","0.050851","145.6973293768546","0.011439266802443893","0.03818887512782494","-0.02674960832538105","100.5036265345001","0.46625554799670876","57.3353189729244","157.8389455074245","-0.07108211983540413","148.5079266802444","43.881910052799995","64.6661379302082","0.012096884165933387","1.2344","7.9445","4.4061","208.04219650000002","208.68377127","0.8542343132953839","0.3098762186281444","845","2027-11-10","3.610958904109589","-0.07894289553090736","1.3","AAA","4","地方国有企业","江苏","金融","非银行金融","其他非银行金融","公告不强赎"
"110084.SH","贵燃转债","2024-04-02","115.499","116.458","115.337","115.466","0.0014136666001751674","0.005381025383019988","贵州燃气","7.2","7.05","7.12","0.008498583569405138","0.022988505929367742","15649","1810.4185","0.15309038149735252","0.2955021376817077","0","99.16434540389973","0.1643902808988762","0.19901361957172412","-0.03462333867284792","103.15644174894378","0.11932903115264981","25.288242954724318","128.4446847036681","-0.1124026527607096","131.90502808988762","9.15143","10.5667901638","0.017133097865444338","2.6685","27.3321","1.2753","81.88018277","81.88018277","0.6001418277254825","0.12905186342197023","806","2027-12-26","3.736986301369863","-0.002764579881417387","1.3","AA","7+","地方国有企业","贵州","公用事业","燃气","燃气","0/15 | 30"
"110085.SH","通22转债","2024-04-02","108.233","108.466","107.852","108.316","-0.0005075158483357489","0.0017016239573033332","通威股份","25.38","24.95","25.25","0.002381897578404013","-0.00824823236927108","15838","1713.9279","0.10577190970189726","0.3018118997349174","0.113188","71.12676056338027","0.5228586138613864","0.5381027953431996","-0.015244181481813168","101.91552577312345","0.06280175840062685","10.458360056302144","112.37388582942559","-0.03746340180052421","160.60186138613864","119.83681066","129.8024398344856","0.0013204126996268122","1.8252","5.6004","0.749","1136.74837794","1136.74837794","0.545167340615353","0.11418748630168431","747","2028-02-23","3.8986301369863012","0.010861692662054846","1.3","AA+","5-","民营企业","四川","电气设备","电源设备","太阳能","0/15 | 30"
"110086.SH","精工转债","2024-04-02","93.911","94.21","93.331","93.98","0.003116727862693125","-0.037622626752743527","精工钢构","2.9","2.84","2.88","0.014084507042253502","0.0285714286890828","36506","3426.7084","0.08198339397542155","0.20290759585579224","0.012359","58.536585365853654","0.6054916666666668","0.8410956586322769","-0.2356039919656101","104.342038347038","-0.0993083757150135","2.077081535228684","106.41911988226668","-0.13235922411435075","154.5291666666667","19.9995","18.7955301","0.01823150707518486","0.6941","9.8624","0.3598","57.97107123999999","57.97107123999999","0.6053128154201498","0.32422257684676176","681","2028-04-21","4.057534246575343","0.05635807263318216","1.3","AA","","民营企业","安徽","建筑","钢结构","钢结构","0/15 | 30"
